Crop_code,Common_name,Latin_name,Major use,Other uses,Crop_comments,DSSAT_code,APSIM_code,AgTrials_code,Photosynthetic pathway,Repro type,Daylength,Vernalization,Harvested part(s),When_harvested,N-fixation,Major planting,Other planting,DSSAT tree node,Default_executable,Default_module,Default_description,Executable_2,Module_2,Description_2,Executable_3,Module_3,Description_3,Executable_4,Module_4,Description_4,Executable_5,Module_5,Description_5,Wikipedia,,,
ACK,Artichoke,Cynara scolymus ,Vegetable,,,,,,C3,Annual,SD/LD,Y,Inflorescence,Size,N,,,Vegetables,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Artichoke,,,
ALD,Almond,Prunus dulcis,Nut,,,,,,C3,Perennial,,,Seed,,N,,,Nut,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Almond,,,
ALF,Alfalfa,Medicago sativa,Forage,,Lucerne,AL,Lucerne,,C3,Perennial,LD,N,Shoot,,Y,Seed,,Forages,DSCSM046,PRFRM,FORAGE-Alfalfa,,,,,,,,,,,,,en.wikipedia.org/wiki/Alfalfa,,,
AMR,Amaranth,Amaranthus spp.,Pseudocereal,," A. caudatus, A. cruentus, and A.hypochondriacus",,,,C4,Annual,SD,,Seed,,N,Seed,,Pseudocereal,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Amaranth#Seed,,,
ARG,Annual ryegrass,Festuca perennis,Silage,Ornamental (lawn),Also as Lolium multiflorum,RG,,,C3,Annual,,,Shoot,,N,Seed,,Forages,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Festuca_perennis,,,
APL,Apple,Malus pumila,Fruit,,,AM,Apple,,C3,Perennial,,Y,Fruit,,N,Transplant,,Fruit crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Apple,,,
APR,Apricot,Prunus armeniaca,Fruit,,,AP,Apricot,,C3,Perennial,,Y,Fruit,,N,Transplant,,Fruit crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Apricot,,,
ASP,Asparagus,Asparagus officinalis,Vegetable,,,,,,C3,Perennial,,,Seed,,N,,,Vegetables,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Asparagus,,,
AVC,Avocado,Persea americana,Fruit,,,,,,C3,Perennial,,,Fruit,Size,N,,,Fruit crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Avocado,,,
BAR,Barley,Hordeum vulgare,Cereal,Fodder,,BA,Barley,Barley,C3,Annual,LD,Y,Seed,Stage,N,Seed,,Cereals,DSCSM046,CSCER,CROPSIM-CERES-Barley,,CSCRP,,,,,,,,,,,en.wikipedia.org/wiki/Barley,,,
BBR,Blueberry,Vaccinium spp.,Fruit,,,,,,C3,Perennial,,,Fruit,,N,,,Fruit crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Blueberry,,,
BGR,Bitter gourd,Momordica charantia,Vegetable,,,,,,C3,Annual,,,Seed,,N,Seed,,Vegetables,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Momordica_charantia,,,
BHG,Bahia grass,Paspalum spp.,Forage,,,BH,Bahia,,C4,Perennial,LD,,Shoot,,N,Seed,,Forages,DSCSM046,PRFRM,FORAGE-Bahiagrass,,CRGRO,,,,,,,,,,,en.wikipedia.org/wiki/Paspalum_notatum,,,
BLW,Broad leaf weeds,(various),NA,,,BW,Weed,,NA,Annual,NA,,NA,,N,Seed,,Various,,,,,,,,,,,,,,,,,,,
BMD,Bermudagrass,Cynodon dactylon,Forage,,,BM,,,C4,Perennial,,,Shoot,,N,Transplant,,Forages,DSCSM046,PRFRM,FORAGE-Bermudagrass,,CRGRO,,,,,,,,,,,,,,
BMG,Bambara groundnut,Vigna subterranea,Pulse,,,BG,,,C3,Annual,SD,N,Seed,,Y,Seed,,Legumes,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Vigna_subterranea,,,
BND,Dry bean,Phaseolus vulgaris,Pulse,,Dry or shell bean,BN,Drybean,Bean common (dry),C3,Annual,SD,N,Seed,,Y,Seed,,Legumes,DSCSM046,CRGRO,CROPGRO-Dry bean,,,,,,,,,,,,,,,,
BNG,Green bean,Phaseolus vulgaris,Vegetable,,Snap bean (low fibre pods),GB,Greenbean,,C3,Annual,SD,N,Fruit,,Y,Seed,,Vegetables,DSCSM046,CRGRO,CROPGRO-Grean bean,,,,,,,,,,,,,,,,
BNN,Banana,Musa paradisiaca,Fruit,,,NN,Banana,Banana,C3,Perennial,,N,Fruit,,N,Rhizome,,Fruit crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Banana#Historical_cultivation,,,
BRC,Brachiaria,Brachiaria spp.,Forage,,Check which species,BR,Brachiaria,,C4,Perennial,,,Shoot,,N,Seed,,Forages,DSCSM046,PRFRM,FORAGE-Brachiaria,,CRGRO,,,,,,,,,,,en.wikipedia.org/wiki/Brachiaria,,,
BWH,Buckwheat,Fagopyrum esculentum,Pseudocereal,,,BK,Buckwheat,,C3,Annual,,,Seed,,N,Seed,,Pseudocereal,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Buckwheat,,,
CAM,Camelina,Camelina sativa,Oil seed,,,CM,Camelina,,C3,Annual,,,Seed,,N,Seed,,Oil crops,DSCSM046,CRGRO,CRGRO-Camelina,,,,,,,,,,,,,en.wikipedia.org/wiki/Camelina,,,
CAR,Carrot,Daucus carota,Vegetable,,,C1,Carrot,,C3,Biennial,SD/LD,Y,Root,,N,Seed,,Vegetables,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Carrot,,,
CBG,Cabbage,Brassica oleraceae,Vegetable,,,CB,Cabbage,,C3,Annual,,,Leaf,,N,Seed,,Vegetables,DSCSM046,CRGRO,CRGRO-Cabbage,,,,,,,,,,,,,en.wikipedia.org/wiki/Cabbage,,,
CLF,Cauliflower,Brassica oleraceae,Vegetable,,,,,,C3,Annual,,,Inflorescence,,N,Seed,,Vegetables,DSCSM046,CRGRO,,,,,,,,,,,,,,en.wikipedia.org/wiki/Cauliflower,,,
CEL,Celery,Apium graveolens,Vegetable,,,,,,C3,Annual,SD/LD,Y,Shoot,,N,Seed,,Vegetables,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Celery,,,
CHI,Chia,Salvia hispanica,Pseudocereal,,,CI,,,C3,Annual,SD,,Seed,Stage,N,Seed,,Pseudocereal,,CRGRO,,,,,,,,,,,,,,en.wikipedia.org/wiki/Salvia_hispanica,,,
CCB,Chinese cabbage,Brassica rapa,Vegetable,,,,,,C3,Annual,LD,Y,Seed,Size,N,Seed,,Vegetables,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Chinese_cabbage,,,
CCN,Coconut,Cocos nucifera,Oil seed,,,CC,Coconut,,C3,Perennial,,,Seed,Stage,N,Seed,,Oil crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Coconut,,,
CFE,Coffee,Coffea spp.,Beverage,,"C. arabica, C. rustica",CF,Coffee,,C3,Perennial,,,Fruit,,N,Seed,,Beverage,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Coffee,,,
CGR,Concord grape,Vitis labrusca,Fruit,,Concord grape,CG,Concordgrape,,C3,Perennial,,,Fruit,,N,Transplant,,Fruit Crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Concord_grape,,,
CHN,Chestnut,Castanea spp.,Nut,,,,,,C3,Perennial,,,Seed,,N,,,Nut,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Chestnut,,,
CHP,Chickpea,Cicer arietenum,Pulse,,Garbanzo,CH,Chickpea,,C3,Annual,LD,,Seed,,Y,Seed,,Legumes,DSCSM046,CRGRO,CROPGRO-Chickpea,,,,,,,,,,,,,en.wikipedia.org/wiki/Chickpea,,,
CHR,Cherry,Prunus spp.,Fruit,,Many species,CY,Cherry,,C3,Perennial,,,Fruit,,N,Transplant,,Fruit crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Cherry,,,
CIT,Citrus,Citrus spp.,Fruit,,,CT,Citrus,,C3,Perennial,,,Fruit,,N,Transplant,,Fruit crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Citrus,,,
CLV,Clover,Trifolium spp.,Fiber,,,CV,Clover,,C3,Perennial,,,Shoot,,Y,Seed,,Forages,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Clover,,,
CNL,Canola,Brassica spp.,Oil seed,,"B. rapa, B. juncea, B. napus",CN,Canola,,C3,Annual,Y,Y,Seed,,N,Seed,,Oil crops,DSCSM046,CRGRO,CROPGRO-Canola,,,,,,,,,,,,,en.wikipedia.org/wiki/Canola,,,
COC,Chocolate,Theobroma cacao,"Fruit, Beverage",,,,,,C3,Perennial,,,Seed,,N,,,Beverage,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Cacao,,,
COT,Cotton,Gossypium spp.,Fiber,,"G. hirsutum, G barbadense",CO,Cotton,,C3,Annual,SD,N,Fruit,,N,Seed,,Fiber,DSCSM046,CRGRO,CROPGRO-Cotton,,,,,,,,,,,,,en.wikipedia.org/wiki/Cotton,,,
CRB,Carob,Ceratonia siliqua,Fruit,,,,,,C3,Perennial,,,Fruit,,N,,,Specialty,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Ceratonia_siliqua,,,
CRB,Cranberry,Vaccinium macrocarpon,Fruit,,,,,,C3,Perennial,,,Fruit,,N,,,Fruit crops,,,,,,,,,,,,,,,,,,,
CRM,Crambe,Crambe abyssinica,Oil seed,,,CR,Crambe,,C3,Annual,Y,Y,Seed,,N,Seed,,Oil crops,,,,,,,,,,,,,,,,,,,
CST,Castor bean,Ricinus castorum,Oil seed,,,C2,Castorbean,,C3,Perennial,,,Seed,,N,Seed,,Oil crops,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Ricinus,,,
CSV,Cassava,Manihot esculenta,Root crop,,,CS,Cassava,Cassava,C3,Annual,,,Root,Date,N,Stem cutting,,Root Crops,DSCSM046,CSCAS,CSCAS-Cassava,,,,,,,,,,,,,,,,
CSW,Cashew,Anacardium occidentale,Nut,,,,,,C3,Perennial,,,Seed,,N,,,Nut,,,,,,,,,,,,,,,,,,,
CUC,Cucumber,Cucumis sativus,Vegetable,,,,,,C3,Annual,,,Fruit,,N,,,Vegetables,,,,,,,,,,,,,,,,,,,
CWP,Cowpea,Vigna unguiculata,Pulse,,,CP,Cowpea,Cowpea,C3,Annual,SD,,Seed,,Y,Seed,,Legumes,DSCSM046,CRGRO,CROPGRO-Cowpea,,,,,,,,,,,,,,,,
DAT,Dates,Phoenix dactylifera,Fruit,,,,,,C3,Perennial,,,Fruit,,N,,,Fruit crops,,,,,,,,,,,,,,,,,,,
EGP,Eggplant,Solanum melongena,Vegetable,,,,,,C3,Annual,,,Fruit,,N,,,Vegetables,,,,,,,,,,,,,,,,,,,
END,Endive,Cichorium endivia,Vegetable,,,,,,C3,Annual,LD,Y,Leaves,,N,Seed,,Vegetables,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Endive,,,
ETM,Ethiopian mustard,Brassica carinata,Bioenergy,,,BC,,,C3,Annual,,,Seed,,N,Seed,,Oil crops,,,,,,,,,,,,,,,,,,,
FAL,Fallow,NA,NA,,,FA,Fallow,,NA,NA,,,NA,,N,NA,,Various,DSCSM046,CRGRO,CROPGRO-Fallow,,,,,,,,,,,,,,,,
FBN,Faba bean,Vicia faba,Pulse,,,FB,Fababean,,C3,Annual,,,Seed,,Y,Seed,,Legumes,DSCSM046,CRGRO,CROPGRO-Faba bean,,,,,,,,,,,,,,,,
FIG,Fig,Ficus carica,Fruit,,,FG,Fig,,C3,Perennial,,,Fruit,,N,Transplant,,Fruit crops,,,,,,,,,,,,,,,,,,,
FLX,Flax,Linum usitatissimum,Fiber,,,FX,,,C3,Annual,,,Stem,,N,Seed,,Fiber,,,,,,,,,,,,,,,,,,,
FML,Finger millet,Eleusine coracana,Cereal,,,,,,C4,Annual,,,Seed,,N,,,Cereals,,,,,,,,,,,,,,,,,,,
FRG,Forage generic,(various),Forage,,Unidentified forage crop,G0,,,NA,Perennial,,,Shoot,,N,,,Forages,DSCSM046,PRFRM,FORAGE-Generic,,,,,,,,,,,,,,,,
FXM,Foxtail millet,Setaria italica,Cereal,,,FM,Foxtailmillet,,C3,Annual,,,Seed,,N,Seed,,Cereals,,,,,,,,,,,,,,,,,,,
GRV,Grass vegetations,(various),NA,,,GR,Grassvegetations,,NA,NA,,,NA,,N,NA,,Various,,,,,,,,,,,,,,,,,,,
GRW,Grass weeds,(various),NA,,,GW,Weed,,NA,NA,,,NA,,N,NA,,Various,,,,,,,,,,,,,,,,,,,
GUA,Guayule,Parthenium argentatum,Latex,,,GY,Guayule,,C3,Perennial,,,Stem,,N,Transplant,Seed,Latex,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Parthenium_argentatum,,,
GUR,Guar,Cyamopsis tetragonoloba,Specialty,,Cluster bean,GU,,,C3,Annual,,,Seed,,Y,Seed,,Specialty,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Guar,,,
GGR,Guinea grass,Megathyrsus maximus,Forage,,"Formerly Panicum maximum. In USA, an invasive weed.",GG,,,C4,Perennial,SD,N,Shoot,,N,Seed,,Forages,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Megathyrsus_maximus,,,
HMP,Hemp,Cannabis sativa,Fiber,Pharmaceutical,,,,,C3,Annual,,,Stem,,N,Seed,,Fiber,,,,,,,,,,,,,,,,,,,
HOP,Hops,Humulus lupulus,Specialty,,For brewing,HO,Hops,,C3,Perennial,,,Flower,,N,Rhizome,,Beverage,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Hops,,,
HSP,Hesperaloe,Hesperaloe spp.,"Fiber, Bioenergy",,"""false yucca"", fiber and biomass new crop",,,,CAM,Perennial,,,Leaf,,N,,,Fiber,,,,,,,,,,,,,,,,,,,
HZN,Hazelnut,Corylus avellana,Nut,,,,,,C3,Perennial,,,Seed,,N,,,Nut,,,,,,,,,,,,,,,,,,,
JAT,Jatropha,Jatropha curcas,Bioenergy,,,,,,C3,Perennial,,,Fruit,,N,,,Oil crops,,,,,,,,,,,,,,,,,,,
JBN,Jack bean,Canavalia ensiformis,Pulse,,,JB,Jackbean,,C3,Annual,,,Seed,,Y,Seed,,Legumes,,,,,,,,,,,,,,,,,,,
JUT,Jute,Corchorus spp.,Fiber,,,JT,Jute,,C3,Annual,,,Stem,,N,Seed,,Fiber,,,,,,,,,,,,,,,,en.wikipedia.org/wiki/Jute,,,
